"DateTime","Positive reviews","Negative reviews"
"2024-09-20 00:00:00",10,-1
"2024-09-21 00:00:00",10,
"2024-09-22 00:00:00",34,-5
"2024-09-23 00:00:00",41,-7
"2024-09-24 00:00:00",26,-4
"2024-09-25 00:00:00",13,
"2024-09-26 00:00:00",60,-7
"2024-09-27 00:00:00",21,-8
"2024-09-28 00:00:00",23,
"2024-09-29 00:00:00",41,-4
"2024-09-30 00:00:00",47,-8
"2024-10-01 00:00:00",39,-11
"2024-10-02 00:00:00",61,-8
"2024-10-03 00:00:00",50,-3
"2024-10-04 00:00:00",19,-2
"2024-10-05 00:00:00",33,-5
"2024-10-06 00:00:00",26,-3
"2024-10-07 00:00:00",44,
"2024-10-08 00:00:00",27,
"2024-10-09 00:00:00",24,-3
"2024-10-10 00:00:00",11,-3
"2024-10-11 00:00:00",14,-3
"2024-10-12 00:00:00",19,
"2024-10-13 00:00:00",38,
"2024-10-14 00:00:00",24,-2
"2024-10-15 00:00:00",11,-1
"2024-10-16 00:00:00",18,
"2024-10-17 00:00:00",22,-7
"2024-10-18 00:00:00",14,
"2024-10-19 00:00:00",21,-2
"2024-10-20 00:00:00",18,
"2024-10-21 00:00:00",14,-3
"2024-10-22 00:00:00",16,-2
"2024-10-23 00:00:00",18,
"2024-10-24 00:00:00",18,-4
"2024-10-25 00:00:00",12,
"2024-10-26 00:00:00",21,-1
"2024-10-27 00:00:00",18,-1
"2024-10-28 00:00:00",19,-6
"2024-10-29 00:00:00",36,
"2024-10-30 00:00:00",22,-2
"2024-10-31 00:00:00",13,
"2024-11-01 00:00:00",10,-1
"2024-11-02 00:00:00",32,-2
"2024-11-03 00:00:00",20,
"2024-11-04 00:00:00",13,
"2024-11-05 00:00:00",14,-2
"2024-11-06 00:00:00",12,-1
"2024-11-07 00:00:00",11,-3
"2024-11-08 00:00:00",20,-2
"2024-11-09 00:00:00",22,
"2024-11-10 00:00:00",24,-2
"2024-11-11 00:00:00",21,-4
"2024-11-12 00:00:00",21,
"2024-11-13 00:00:00",16,-1
"2024-11-14 00:00:00",16,
"2024-11-15 00:00:00",20,-2
"2024-11-16 00:00:00",16,-1
"2024-11-17 00:00:00",28,-5
"2024-11-18 00:00:00",34,-6
"2024-11-19 00:00:00",26,-1
"2024-11-20 00:00:00",37,
"2024-11-21 00:00:00",17,-4
"2024-11-22 00:00:00",25,-3
"2024-11-23 00:00:00",25,-1
"2024-11-24 00:00:00",38,-2
"2024-11-25 00:00:00",37,-3
"2024-11-26 00:00:00",12,-1
"2024-11-27 00:00:00",72,-5
"2024-11-28 00:00:00",146,
"2024-11-29 00:00:00",115,-6
"2024-11-30 00:00:00",107,-6
"2024-12-01 00:00:00",120,-4
"2024-12-02 00:00:00",76,-2
"2024-12-03 00:00:00",95,-1
"2024-12-04 00:00:00",86,-3
"2024-12-05 00:00:00",24,-1
"2024-12-06 00:00:00",26,-5
"2024-12-07 00:00:00",32,-2
"2024-12-08 00:00:00",31,-6
"2024-12-09 00:00:00",34,-5
"2024-12-10 00:00:00",25,
"2024-12-11 00:00:00",25,-8
"2024-12-12 00:00:00",24,-2
"2024-12-13 00:00:00",15,
"2024-12-14 00:00:00",24,-3
"2024-12-15 00:00:00",29,-5
"2024-12-16 00:00:00",22,-1
"2024-12-17 00:00:00",11,-2
"2024-12-18 00:00:00",19,-3
"2024-12-19 00:00:00",30,-4
"2024-12-20 00:00:00",20,-1
"2024-12-21 00:00:00",23,-4
"2024-12-22 00:00:00",37,-1
"2024-12-23 00:00:00",36,
"2024-12-24 00:00:00",38,-3
"2024-12-25 00:00:00",22,-1
"2024-12-26 00:00:00",59,-8
"2024-12-27 00:00:00",25,-4
"2024-12-28 00:00:00",53,-3
"2024-12-29 00:00:00",43,-5
"2024-12-30 00:00:00",68,-18
"2024-12-31 00:00:00",16,
"2025-01-01 00:00:00",52,-2
"2025-01-02 00:00:00",63,-11
"2025-01-03 00:00:00",36,-5
"2025-01-04 00:00:00",48,-7
"2025-01-05 00:00:00",48,-6
"2025-01-06 00:00:00",35,-4
"2025-01-07 00:00:00",17,-4
"2025-01-08 00:00:00",46,-7
"2025-01-09 00:00:00",20,-3
"2025-01-10 00:00:00",22,-4
"2025-01-11 00:00:00",27,-7
"2025-01-12 00:00:00",29,-1
"2025-01-13 00:00:00",25,
"2025-01-14 00:00:00",28,
"2025-01-15 00:00:00",16,-2
"2025-01-16 00:00:00",17,
"2025-01-17 00:00:00",21,-4
"2025-01-18 00:00:00",17,
"2025-01-19 00:00:00",24,-2
"2025-01-20 00:00:00",24,
"2025-01-21 00:00:00",38,-3
"2025-01-22 00:00:00",5,
"2025-01-23 00:00:00",19,-2
"2025-01-24 00:00:00",22,-1
"2025-01-25 00:00:00",17,-1
"2025-01-26 00:00:00",36,-1
"2025-01-27 00:00:00",25,-2
"2025-01-28 00:00:00",21,-1
"2025-01-29 00:00:00",19,-1
"2025-01-30 00:00:00",14,-3
"2025-01-31 00:00:00",29,-4
"2025-02-01 00:00:00",16,
"2025-02-02 00:00:00",22,-3
"2025-02-03 00:00:00",24,
"2025-02-04 00:00:00",28,-2
"2025-02-05 00:00:00",28,-3
"2025-02-06 00:00:00",22,-1
"2025-02-07 00:00:00",23,-1
"2025-02-08 00:00:00",13,
"2025-02-09 00:00:00",20,
"2025-02-10 00:00:00",18,-1
"2025-02-11 00:00:00",14,
"2025-02-12 00:00:00",8,
"2025-02-13 00:00:00",10,-4
"2025-02-14 00:00:00",13,
"2025-02-15 00:00:00",21,
"2025-02-16 00:00:00",25,-5
"2025-02-17 00:00:00",29,-2
"2025-02-18 00:00:00",24,-2
"2025-02-19 00:00:00",17,-1
"2025-02-20 00:00:00",17,
"2025-02-21 00:00:00",21,-2
"2025-02-22 00:00:00",21,-3
"2025-02-23 00:00:00",23,-2
"2025-02-24 00:00:00",19,-4
"2025-02-25 00:00:00",24,
"2025-02-26 00:00:00",25,-5
"2025-02-27 00:00:00",12,-2
"2025-02-28 00:00:00",5,-2
"2025-03-01 00:00:00",25,-1
"2025-03-02 00:00:00",28,
"2025-03-03 00:00:00",40,
"2025-03-04 00:00:00",21,-2
"2025-03-05 00:00:00",29,-1
"2025-03-06 00:00:00",13,
"2025-03-07 00:00:00",13,
"2025-03-08 00:00:00",12,
"2025-03-09 00:00:00",30,-2
"2025-03-10 00:00:00",30,
"2025-03-11 00:00:00",26,
"2025-03-12 00:00:00",13,
"2025-03-13 00:00:00",31,-3
"2025-03-14 00:00:00",23,-4
"2025-03-15 00:00:00",38,-2
"2025-03-16 00:00:00",45,-2
"2025-03-17 00:00:00",30,-5
"2025-03-18 00:00:00",19,-8
"2025-03-19 00:00:00",38,
"2025-03-20 00:00:00",32,-5
"2025-03-21 00:00:00",28,-1
"2025-03-22 00:00:00",47,-5
"2025-03-23 00:00:00",26,-7
"2025-03-24 00:00:00",30,-5
"2025-03-25 00:00:00",19,-4
"2025-03-26 00:00:00",13,-2
"2025-03-27 00:00:00",30,-1
"2025-03-28 00:00:00",15,-1
"2025-03-29 00:00:00",24,-2
"2025-03-30 00:00:00",39,-5
"2025-03-31 00:00:00",23,-2
"2025-04-01 00:00:00",30,
"2025-04-02 00:00:00",22,
"2025-04-03 00:00:00",16,-2
"2025-04-04 00:00:00",23,-3
"2025-04-05 00:00:00",23,-2
"2025-04-06 00:00:00",23,-4
"2025-04-07 00:00:00",30,-2
"2025-04-08 00:00:00",5,
"2025-04-09 00:00:00",16,-2
"2025-04-10 00:00:00",20,
"2025-04-11 00:00:00",7,
"2025-04-12 00:00:00",18,-2
"2025-04-13 00:00:00",33,-3
"2025-04-14 00:00:00",30,
"2025-04-15 00:00:00",19,-2
"2025-04-16 00:00:00",9,-2
"2025-04-17 00:00:00",31,
"2025-04-18 00:00:00",32,
"2025-04-19 00:00:00",25,
"2025-04-20 00:00:00",25,-2
"2025-04-21 00:00:00",38,-2
"2025-04-22 00:00:00",28,
"2025-04-23 00:00:00",21,
"2025-04-24 00:00:00",19,
"2025-04-25 00:00:00",27,
"2025-04-26 00:00:00",24,
"2025-04-27 00:00:00",53,-13
"2025-04-28 00:00:00",46,-8
"2025-04-29 00:00:00",36,-1
"2025-04-30 00:00:00",28,-9
"2025-05-01 00:00:00",27,-6
